"~id","~start_node_id","~end_node_id","~relationship_type"
"1155188697583321244","156","166","WROTE"
"1157440497397006492","156","3228","WROTE"
"1159692297210691740","156","3230","WROTE"
"1161944097024376988","156","3231","WROTE"
"1164195896838062236","156","3233","WROTE"
"1166447696651747484","156","3234","WROTE"
"1168699496465432732","156","3235","WROTE"
"1170951296279117980","156","3236","WROTE"
"1173203096092803228","156","3237","WROTE"
"1175454895906488476","156","3238","WROTE"
"1177706695720173724","156","3239","WROTE"
"1179958495533858972","156","3731","WROTE"
"1182210295347544220","156","6620","WROTE"
"1152936897769635998","158","155","WROTE"
"1155188697583321246","158","231","WROTE"
"1157440497397006494","158","261","WROTE"
"1159692297210691742","158","276","WROTE"
"1161944097024376990","158","278","WROTE"
"1164195896838062238","158","2473","WROTE"
"1166447696651747486","158","2490","WROTE"
"1168699496465432734","158","2492","WROTE"
"1170951296279117982","158","2513","WROTE"
"1173203096092803230","158","2515","WROTE"
"1175454895906488478","158","2519","WROTE"
"1177706695720173726","158","2596","WROTE"
"1179958495533858974","158","2637","WROTE"
"1182210295347544222","158","4535","WROTE"
"1184462095161229470","158","6407","WROTE"
"1152936897769636000","160","157","WROTE"
"1155188697583321248","160","159","WROTE"
"1152936897769636005","165","162","WROTE"
"1155188697583321253","165","226","WROTE"
"1152936897769636007","167","164","WROTE"
"1155188697583321255","167","201","WROTE"
"1157440497397006503","167","1509","WROTE"
"1159692297210691751","167","3486","WROTE"
"1161944097024376999","167","8798","WROTE"
"1164195896838062247","167","8799","WROTE"
"1166447696651747495","167","8851","WROTE"
"1152936897769636010","170","168","WROTE"
"1152936897769636013","173","169","WROTE"
"1155188697583321261","173","532","WROTE"
"1157440497397006509","173","538","WROTE"
"1152936897769636016","176","172","WROTE"
"1155188697583321264","176","175","WROTE"
"1157440497397006512","176","5953","WROTE"
"1152936897769636021","181","178","WROTE"
"1155188697583321269","181","332","WROTE"
"1157440497397006517","181","6007","WROTE"
"1159692297210691765","181","6008","WROTE"
"1161944097024377013","181","8893","WROTE"
"1152936897769636024","184","180","WROTE"
"1155188697583321272","184","3854","WROTE"
"1157440497397006520","184","4414","WROTE"
"1159692297210691768","184","11182","WROTE"
"1152936897769636027","187","183","WROTE"
"1155188697583321275","187","204","WROTE"
"1157440497397006523","187","324","WROTE"
"1159692297210691771","187","336","WROTE"
"1161944097024377019","187","339","WROTE"
"1164195896838062267","187","2962","WROTE"
"1166447696651747515","187","6033","WROTE"
"1168699496465432763","187","6041","WROTE"
"1170951296279118011","187","6057","WROTE"
"1173203096092803259","187","8908","WROTE"
"1152936897769636030","190","189","WROTE"
"1155188697583321278","190","2487","WROTE"
"1157440497397006526","190","2488","WROTE"
"1159692297210691774","190","2541","WROTE"
"1161944097024377022","190","2543","WROTE"
"1164195896838062270","190","2544","WROTE"
"1166447696651747518","190","2619","WROTE"
"1168699496465432766","190","2671","WROTE"
"1170951296279118014","190","2673","WROTE"
"1173203096092803262","190","2691","WROTE"
"1175454895906488510","190","9101","WROTE"
"1177706695720173758","190","11094","WROTE"
"1179958495533859006","190","11096","WROTE"
"1182210295347544254","190","11097","WROTE"
"1184462095161229502","190","11232","WROTE"
"1186713894974914750","190","11236","WROTE"
"1188965694788599998","190","11242","WROTE"
"1152936897769636033","193","189","WROTE"
"1155188697583321281","193","2529","WROTE"
"1152936897769636035","195","192","WROTE"
"1152936897769636037","197","194","WROTE"
"1155188697583321285","197","2612","WROTE"
"1157440497397006533","197","2642","WROTE"
"1152936897769636039","199","196","WROTE"
"1155188697583321287","199","323","WROTE"
"1157440497397006535","199","1957","WROTE"
"1159692297210691783","199","5706","WROTE"
"1161944097024377031","199","6079","WROTE"
"1152936897769636042","202","198","WROTE"
"1152936897769636049","209","206","WROTE"
"1155188697583321297","209","2304","WROTE"
"1157440497397006545","209","3216","WROTE"
"1159692297210691793","209","3219","WROTE"
"1152936897769636051","211","208","WROTE"
